KY,20223,19653,19389,19121,18670,18245,17919,17519,17152,16376,16376,16376,16079,15842,15624,15347,15232,14859,14859,14617,14363,14141,13839,13750,13630,13454,13197,12995,12829,12647,12445,12445,11945,11945,11883,11708,11476,11287,11287,10977,10705,10410,10185,10046,9704,9464,9184,9077,9077,8571,8571,8571,8426,8286,8167,8069,8069,7688,7688,7444,7225,7080,6853,6677,6440,6440,6288,6129,5934,5822,5245,5130,4879,4879,4708,4539,4375,4146,4074,3905,3779,3481,3373,3192,3050,2960,2707,2522,2429,2291
LA,82042,79827,78122,76803,74636,71994,70151,68263,66327,65226,63289,63289,61561,60178,58095,57081,56236,54769,54769,53415,52477,51595,50239,49778,49385,48515,48634,48634,47706,47172,46619,46283,44995,44472,44030,43612,43050,42816,42486,41989,41562,41133,40746,40341,39916,39577,38802,38802,38497,38054,37809,37169,37040,36925,36504,35316,35038,34709,34432,34117,33837,33489,32662,32050,31815,31600,31417,30855,30652,30399,29996,29673,29340,29140,28711,28001,27660,27286,27068,26773,26512,26140,25739,25258,24854,24523,23928,23580,23118,22532
MA,112130,111827,111597,111398,111110,110897,110602,110338,110137,109974,109838,109628,109338,109143,108882,108768,108667,108443,108070,107837,107611,107439,107210,107061,106936,106650,106422,106151,105885,105690,105603,105395,105059,104667,104156,103889,103626,103436,103132,102557,102063,101592,101163,100805,96965,96301,95512,94895,94220,93693,93271,92675,91662,90889,90084,88970,87925,87052,86010,84933,83421,82182,80497,79332,78462,77793,76743,75333,73721,72025,70271,69087,68087,66263,64311,62205,60265,58302,56462,54938,53348,50969,47992,44913,43168,41416,39820,37527,35125,32492
MD,74260,73527,73109,72467,71910,71447,70861,70396,69904,69632,69341,68961,68423,67918,67559,67254,66777,66450,66115,65777,65337,65007,64603,64306,63956,63548,63229,62969,62409,62032,61701,61305,60613,60197,59465,58904,58404,57973,57482,56770,55858,54982,54175,53327,52778,52015,50988,49709,48423,47687,47152,46313,45495,44424,43531,42323,41546,39762,38804,37968,36986,35903,34812,34061,33373,32587,31534,30485,29374,28163,27117,26408,25462,24473,23472,21742,20849,20113,19487,18581,17766,16616,15737,14775,14193,13684,12830,12308,11572,10784
ME,3566,3558,3539,3520,3499,3486,3460,3440,3423,3415,3397,3373,3328,3294,3253,3219,3191,3154,3102,3070,3017,2994,2971,2957,2938,2913,2878,2836,2819,2810,2793,2757,2721,2667,2637,2606,2588,2570,2524,2482,2446,2418,2377,2349,2325,2282,2226,2189,2137,2109,2074,2055,2013,1948,1877,1819,1741,1713,1687,1648,1603,1565,1515,1477,1462,1436,1408,1374,1330,1254,1226,1205,1185,1152,1123,1095,1056,1040,1023,1015,990,965,937,907,888,875,867,847,827,796
MI,77864,77198,76776,76370,75685,75063,74551,73900,73269,72941,72581,72175,71678,71089,70728,70223,69946,69679,69329,68989,68555,68197,67957,67711,67545,67097,66798,66497,66269,66085,66054,65836,65672,65449,65182,65167,65104,64969,64914,64821,64616,64382,64103,63813,63568,63321,63116,62797,62461,62075,61632,61457,61293,61075,60610,60151,59576,58812,58278,58023,57687,57036,56458,55641,54004,53033,52732,52349,51731,51131,50497,49809,49029,48672,48240,47505,46488,45538,44709,43789,43263,42730,41694,40705,39589,38494,37557,37029,36320,35455
MN,43170,42772,42281,41571,40767,40163,39589,39133,38569,38136,37624,37624,37210,36716,36303,35861,35549,35033,34616,34123,33763,33469,33227,32920,32467,32031,31675,31296,30882,30693,30471,30465,30463,30418,30199,29866,29436,28988,28853,28688,28290,27889,27376,26897,26322,26181,26013,25559,24988,24308,23524,23121,22765,22374,21582,20609,19842,18987,18016,17705,17363,16565,15772,15043,14379,13552,13321,13040,12328,11510,10876,10235,9411,9071,8736,8116,7468,6788,6187,5512,5127,4788,4270,3758,3452,3190,2914,2788,2668,2486
MO,28826,27890,27443,27133,25999,25999,25204,24629,23856,23436,23215,22830,22283,21927,21551,21043,20575,20261,19914,19421,18868,18143,18143,18003,17590,17201,16908,16625,16414,16189,15810,15810,15585,15390,15187,14913,14734,14553,14442,14253,14057,13767,13575,13327,13147,12962,12795,12673,12492,12291,12167,11988,11752,11558,11340,11232,11080,10945,10789,10675,10456,10317,10142,10006,9918,9844,9666,9489,9341,9102,8916,8754,8386,8154,7835,7562,7425,7303,7171,6997,6826,6625,6321,6137,5941,5807,5667,5517,5283,5111
MP,33,33,33,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,27,26,26,26,23,23,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,19,19,19,19,19,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13
MS,37542,36680,36287,35419,34622,33591,32888,32214,31257,30900,30674,28770,28770,27900,27247,26567,25892,25531,25066,24516,23424,22898,22287,20641,20641,20641,20641,20641,20152,19799,19516,19348,19091,18483,18483,17768,17768,17270,16769,16759,16560,16322,16020,15752,15501,15229,14790,14372,14044,13731,13458,13252,13005,12624,12222,11967,11704,11432,11296,11123,10801,10483,10090,9908,9674,9501,9378,9090,8686,8424,8207,7877,7550,7441,7212,6815,6569,6342,6094,5911,5718,5434,5153,4894,4716,4512,4274,3974,3793,3624
